id_by_user,name,type,size_x,size_y,size_z,remarks,first_upload_date,update_date,reference,rate,status
1,ItemA,Type1,10.5,1,2,aああ,2024-06-13T09:22:08.799,2024-06-14T19:49:12.272,,0.431366466950087,under_review
2,ItemB,Type2,20,2,3,a,2024-06-13T09:22:08.801,2024-06-14T19:49:12.272,,0.597553327581441,under_review
3,ItemC,Type1,15.3,3,4,a,2024-06-13T09:22:08.801,2024-06-14T19:49:12.272,,0.965345396096767,under_review
1,ItemA,Type1,10.5,1,2,a,2024-06-13T09:24:43.179,2024-06-14T19:49:12.272,,0.581542815457074,under_review
2,ItemB,Type2,20,2,3,a,2024-06-13T09:24:43.182,2024-06-14T19:49:12.272,,0.103417985974335,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-13T09:24:43.182,2024-06-13T21:41:10.646,,0.298435218645893,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-13T09:53:39.445,2024-06-13T21:41:10.646,,0.821553137803724,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-13T09:53:39.445,2024-06-13T21:41:10.646,,0.558559253268879,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-13T09:53:39.445,2024-06-13T21:41:10.646,,0.535486544935584,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-13T14:59:44.252,2024-06-13T21:41:10.646,,0.196937368743956,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-13T14:59:44.252,2024-06-13T21:41:10.646,,0.261398817075252,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-13T14:59:44.252,2024-06-13T21:41:10.646,,0.503540081607757,under_review
1,1,1,1,1,1,1,2024-06-13T15:29:35.486,2024-06-13T21:41:10.646,,0.97652905481869,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-13T15:36:52.755,2024-06-13T21:41:10.646,,0.832137479144256,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-13T15:36:52.755,2024-06-13T21:41:10.646,,0.714286231164564,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-13T15:36:52.755,2024-06-13T21:41:10.646,,0.388955285519163,under_review
2,2,2,2,2,2,2,2024-06-13T15:38:22.965,2024-06-13T21:41:10.646,,0.762066775336395,under_review
4,ItemA,Type1,10.5,1,2,444,2024-06-13T17:21:38.635,2024-06-13T21:41:10.646,,0.543104335633364,under_review
5,ItemB,Type2,20,2,3,55,2024-06-13T17:21:38.635,2024-06-13T21:41:10.646,,0.386498202644401,under_review
6,ItemC,Type1,15.3,3,4,6,2024-06-13T17:21:38.635,2024-06-13T21:41:10.646,,0.21865387283732,under_review
4,ItemA,Type1,10.5,1,2,444,2024-06-13T20:31:19.225,2024-06-13T21:41:10.646,,0.532712407095165,under_review
5,ItemB,Type2,20,2,3,55,2024-06-13T20:31:19.225,2024-06-13T21:41:10.646,,0.585678772150801,under_review
6,ItemC,Type1,15.3,3,4,6,2024-06-13T20:31:19.225,2024-06-13T21:41:10.646,,0.890927703739722,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-13T20:38:40.852,2024-06-13T21:41:10.646,,0.564583467676713,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-13T20:38:40.852,2024-06-13T21:41:10.646,,0.757077672877276,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-13T20:38:40.852,2024-06-13T21:41:10.646,,0.960655584221185,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-13T20:47:22.068,2024-06-13T21:41:10.646,,0.253072826142195,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-13T20:47:22.068,2024-06-13T21:41:10.646,,0.949864753737293,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-13T20:47:22.068,2024-06-13T21:41:10.646,,0.164343463510197,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-13T21:14:18.209,2024-06-14T00:38:25.750,,0.985799881907543,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-13T21:14:18.209,2024-06-14T00:38:45.780,,0.605270006355582,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-13T21:14:18.209,2024-06-14T00:38:40.394,,0.753117364863612,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-13T23:35:45.098,2024-06-14T00:38:35.690,,0.756293682028161,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-13T23:35:45.098,2024-06-14T00:38:55.711,,0.203619598553887,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-13T23:35:45.098,2024-06-14T00:39:15.735,,0.852741286409162,under_review
1,ｑ,dfdffe,1,1,1,1,2024-06-14T00:25:00.737,2024-06-14T00:39:35.751,,0.382999585176798,under_review
4,f,,1,1,1,asedfaswg,2024-06-14T00:26:10.436,2024-06-14T00:39:55.774,,0.0982455697305229,under_review
1,1,1,2,2,2,2222222,2024-06-14T00:28:06.354,2024-06-14T00:40:15.785,,0.323839526721051,under_review
123,123,123,11,123,123,123123,2024-06-14T00:29:20.816,2024-06-14T01:31:55.598,,0.648567037619651,under_review
4,ItemA,Type1,10.5,1,2,444,2024-06-14T00:31:30.212,2024-06-14T00:40:55.829,,0.116679589995256,under_review
5,ItemB,Type2,20,2,3,55,2024-06-14T00:31:30.212,2024-06-14T00:41:15.847,,0.560508648269174,under_review
6,ItemC,Type1,15.3,3,4,6,2024-06-14T00:31:30.212,2024-06-14T00:41:35.856,,0.987062421847835,under_review
4,ItemA,Type1,10.5,1,2,444,2024-06-14T00:32:19.351,2024-06-14T00:41:55.884,,0.847095247948869,under_review
5,ItemB,Type2,20,2,3,55,2024-06-14T00:32:19.351,2024-06-14T00:42:15.915,,0.110313667393845,under_review
6,ItemC,Type1,15.3,3,4,6,2024-06-14T00:32:19.351,2024-06-14T00:42:35.947,,0.984126896308992,under_review
4,ItemA,Type1,10.5,1,2,444,2024-06-14T00:43:03.060,2024-06-14T00:46:49.146,,0.3341623979799,under_review
5,ItemB,Type2,20,2,3,55,2024-06-14T00:43:03.060,2024-06-14T00:47:09.180,,0.568940727848644,under_review
6,ItemC,Type1,15.3,3,4,6,2024-06-14T00:43:03.060,2024-06-14T00:47:29.207,,0.356858699024975,under_review
4,ItemA,Type1,10.5,1,2,444,2024-06-14T00:44:40.320,2024-06-14T00:47:49.221,,0.333833521349364,under_review
5,ItemB,Type2,20,2,3,55,2024-06-14T00:44:40.320,2024-06-14T00:48:09.247,,0.93497754449402,under_review
6,ItemC,Type1,15.3,3,4,6,2024-06-14T00:44:40.320,2024-06-14T00:48:29.266,,0.342159160879767,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-14T00:46:01.604,2024-06-14T00:48:49.295,,0.371061180604239,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-14T00:46:01.604,2024-06-14T00:49:09.316,,0.283393679575543,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-14T00:46:01.604,2024-06-14T00:49:29.332,,0.760760944913749,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-14T00:49:57.943,2024-06-14T00:50:32.255,,0.741246573411604,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-14T00:49:57.943,2024-06-14T00:50:52.282,,0.214234653315353,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-14T00:49:57.943,2024-06-14T00:51:12.316,,0.286582325647903,under_review
1,ItemA,Type1,10.5,1,2,yyyy,2024-06-14T01:28:33.343,2024-06-14T13:24:07.647,,0.226565505063396,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-14T01:28:33.343,2024-06-14T13:24:27.667,,0.259544199401052,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-14T01:28:33.343,2024-06-14T13:24:47.689,,0.0978690601819434,under_review
4,ItemA,Type1,10.5,1,2,444,2024-06-14T01:30:33.393,2024-06-14T13:25:07.704,,0.752905897493033,under_review
5,ItemB,Type2,20,2,3,55,2024-06-14T01:30:33.393,2024-06-14T13:25:27.726,,0.939916178352118,under_review
6,ItemC,Type1,15.3,3,4,6,2024-06-14T01:30:33.393,2024-06-14T13:25:47.758,,0.252410741817356,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-14T14:52:05.850,2024-06-14T19:54:12.465,,0.0778977669345041,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-14T14:52:05.850,2024-06-14T19:54:32.480,,0.00207136634872473,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-14T14:52:05.850,2024-06-14T19:54:52.505,,0.455016822578821,under_review
4,ItemA,Type1,10.5,1,2,444,2024-06-14T14:52:25.767,2024-06-14T19:55:12.534,,0.121819567379675,under_review
5,ItemB,Type2,20,2,3,55,2024-06-14T14:52:25.767,2024-06-14T19:55:32.562,,0.390972937362135,under_review
6,ItemC,Type1,15.3,3,4,6,2024-06-14T14:52:25.767,2024-06-14T19:55:52.591,,0.327007399428288,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-14T16:35:32.932,2024-06-14T19:56:12.608,,0.200281820966878,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-14T16:35:32.932,2024-06-14T19:56:32.641,,0.269042454849688,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-14T16:35:32.932,2024-06-14T19:56:52.658,,0.36623646477584,under_review
4111111,1,1,1,1,1,,2024-06-14T16:37:16.020,2024-06-14T19:57:12.685,,0.0716925775683063,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-14T16:42:15.654,2024-06-14T19:57:32.708,,0.0205147604120135,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-14T16:42:15.654,2024-06-14T19:57:52.731,,0.400321586692877,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-14T16:42:15.654,2024-06-14T19:58:12.761,,0.336499685600891,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-14T16:44:13.527,2024-06-14T19:58:32.783,,0.442855245519096,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-14T16:44:13.527,2024-06-14T19:58:52.807,,0.0455731115457951,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-14T16:44:13.527,2024-06-14T19:59:12.818,,0.359393553234211,under_review
4,ItemA,Type1,10.5,1,2,444,2024-06-14T18:00:28.961,2024-06-14T19:59:32.847,,0.859006616683938,under_review
5,ItemB,Type2,20,2,3,55,2024-06-14T18:00:28.961,2024-06-14T19:59:52.871,,0.0653172839257009,under_review
6,ItemC,Type1,15.3,3,4,6,2024-06-14T18:00:28.961,2024-06-14T20:00:12.886,,0.252494152637885,under_review
4,ItemA,Type1,10.5,1,2,444,2024-06-14T18:00:52.734,2024-06-14T20:00:32.913,,0.846506622437785,under_review
5,ItemB,Type2,20,2,3,55,2024-06-14T18:00:52.734,2024-06-14T20:00:52.930,,0.0607873391514653,under_review
6,ItemC,Type1,15.3,3,4,6,2024-06-14T18:00:52.734,2024-06-14T20:01:12.960,,0.00854544140002145,under_review
ｆ,ｆ,ｆ,1,1,1,11111,2024-06-14T18:01:16.319,2024-06-14T20:01:32.974,,0.208970152525508,under_review
23a,33,2,1,2,3,3,2024-06-14T18:15:09.553,2024-06-14T20:01:53.006,,0.803509066114769,under_review
3,ItemC,Type1,15.3,3,4,a,2024-06-14T18:31:32.157,2024-06-14T20:02:13.027,,0.916543984995472,under_review
2,ItemB,Type2,20,2,3,ffffffffffffffffffffffff,2024-06-14T18:32:28.106,2024-06-14T20:02:33.051,,0.144544953458945,under_review
asc,sdfgb,sd,2,2,2,qqqqqqqqqqqq,2024-06-14T18:47:02.575,2024-06-14T20:02:53.094,,0.882697967712608,under_review
1,ItemA,Type1,10.5,1,2,first record,2024-06-14T18:56:50.004,2024-06-14T20:03:13.108,,0.148836052294014,under_review
2,ItemB,Type2,20,2,3,2nd,2024-06-14T18:56:50.004,2024-06-14T20:03:33.133,,0.867569159396994,under_review
3,ItemC,Type1,15.3,3,4,third,2024-06-14T18:56:50.004,2024-06-14T20:03:53.174,,0.483895150161877,under_review
2,ItemB,Type2,20,2,3,aa,2024-06-14T18:57:09.587,2024-06-14T20:04:13.192,,0.375030137445211,under_review
ｑｑｑｑ,ｑｑ,ｑ,22,111,11,33,2024-06-14T21:13:20.875,2024-06-14T21:15:29.416,,0,just_uploaded
1,ItemA,Type1,10.5,1,23,ee,2024-06-14T21:13:39.590,2024-06-14T21:15:29.416,,0,just_uploaded
2,ItemB,Type2,20,2,3,2nd,2024-06-14T21:13:39.590,2024-06-14T21:13:39.590,,0,just_uploaded
3,ItemC,Type1,15.3,3,4,third,2024-06-14T21:13:39.590,2024-06-14T21:13:39.590,,0,just_uploaded
